ID,COUNTRY_CODE,NAME,LOCATION_TYPE
9167051,JP,699-3212,Postal Code
9148144,IN,585437,Postal Code
9030845,US,89319,Postal Code
9013407,US,37843,Postal Code
1028120,US,North Prairie,City
9022342,US,62093,Postal Code
9137827,MX,61554,Postal Code
9068500,DE,19053,Postal Code
9140851,MX,61533,Postal Code
9154933,IN,764078,Postal Code
9300641,IN,425502,Postal Code
9115907,DE,37136,Postal Code
20625,JP,Aomori,Prefecture
9160295,JP,068-1215,Postal Code
1016724,US,Nokomis,City
9146740,None,480223,Postal Code
1027386,US,Essex Junction,Neighborhood
9022002,US,61417,Postal Code
9175609,JP,013-0208,Postal Code
20939,RU,Kaluga Oblast,Region
9054183,US,45350,Postal Code
9148141,IN,585415,Postal Code
9016033,US,45897,Postal Code
9062096,IN,411058,Postal Code
9001664,US,01054,Postal Code
9299692,IN,Tenka,City
9178077,JP,018-1211,Postal Code
9005982,US,15341,Postal Code
9046173,GB,CV12,Postal Code
1000912,AT,Leoben,City
9014281,US,40372,Postal Code
9299867,IN,524222,Postal Code
9176347,JP,096-0078,Postal Code
9132108,MX,70446,Postal Code
1013507,US,Topawa,City
9026694,US,74733,Postal Code
9007532,US,20008,Postal Code
9148079,IN,583228,Postal Code
1026122,US,Sale Creek,City
9068195,DE,28201,Postal Code
9178360,JP,736-0087,Postal Code
1018085,US,Winnsboro,City
9022665,US,62829,Postal Code
9135747,MX,58149,Postal Code
9106048,HU,9534,Postal Code
9058138,US,Middlesex County,County
2581,UM,United States Minor Outlying Islands,Country
1020912,US,Joplin,City
9173904,JP,708-0303,Postal Code
9033889,US,99590,Postal Code
9101727,BR,69307,Postal Code
9152715,IN,571812,Postal Code
9007833,US,21040,Postal Code
9176564,JP,981-0309,Postal Code
1025057,US,Marysville,City
9071950,AU,2612,Postal Code
9010790,US,30062,Postal Code
9118679,NZ,5024,Postal Code
9021239,US,59440,Postal Code
9011858,US,33018,Postal Code
9109577,FR,02330,Postal Code
9134928,MX,63497,Postal Code
9301234,IN,250344,Postal Code
9133733,MX,87262,Postal Code
9057957,US,Hardin County,County
9108199,FR,24360,Postal Code
1024976,US,Johnstown,City
9146227,IN,415722,Postal Code
9115468,DE,92724,Postal Code
9154515,IN,574118,Postal Code
9122352,ID,Lembo Raya,District
9027568,US,76943,Postal Code
9071664,AU,2758,Postal Code
9001314,CA,T2G,Postal Code
9138524,MX,35106,Postal Code
9112789,AU,6427,Postal Code
9044700,DE,53894,Postal Code
9108062,HU,8194,Postal Code
9112793,AU,City of Maitland,Municipality
9147521,IN,532462,Postal Code
9132825,MX,58425,Postal Code
9120461,ID,16434,Postal Code
9047852,CA,Brighton,City
9049673,FR,Janze,City
9069226,AU,4114,Postal Code
9024342,US,67491,Postal Code
9299092,IN,Purena,City
1010261,MY,Butterworth,City
9149691,IN,713142,Postal Code
9006959,US,18062,Postal Code
1024962,US,Intercourse,City
1009429,JP,Takayama,City
9019532,US,55090,Postal Code
9066175,MY,Kampung Melayu Gambang,Neighborhood
1019736,US,Browerville,City
1026961,US,Monroe,City
9165635,JP,043-1364,Postal Code
1017893,US,Stanford,City
9067372,PH,Bel-Air,Neighborhood
9137236,MX,55883,Postal Code
9164894,None,922-0564,Postal Code
9149711,IN,713215,Postal Code
1017983,US,Grambling,City
20427,HU,Komarom-Esztergom,County
9134914,MX,30104,Postal Code
9122865,ID,Inuman,District
9140371,MX,76665,Postal Code
9301597,IN,524303,Postal Code
9299660,IN,382830,Postal Code
9147102,IN,505214,Postal Code
9298961,IN,Kovaipudur,Neighborhood
9155797,JP,920-2331,Postal Code
9143006,MX,63582,Postal Code
9068255,DE,49451,Postal Code
9041553,DE,01844,Postal Code
9119923,ID,45181,Postal Code
9130693,MX,76995,Postal Code
9064704,NL,4844,Postal Code
9175605,JP,098-4457,Postal Code
9014526,US,41553,Postal Code
1023708,US,Gallipolis,City
9068979,AU,4035,Postal Code
9006068,US,15534,Postal Code
9168600,JP,856-0002,Postal Code
9141622,MX,96102,Postal Code
9020213,US,56560,Postal Code
9300170,IN,412209,Postal Code
1017942,US,Broussard,City
9134119,MX,71230,Postal Code
9124632,ID,Pohjentrek,District
9114749,DE,87772,Postal Code
9132643,MX,92975,Postal Code
1003792,CZ,Dublovice,City
9021513,US,60130,Postal Code
9073643,EG,El Shorouk City,City
9056030,FR,69230,Postal Code
9170783,JP,669-5378,Postal Code
9018544,US,52333,Postal Code
9031245,US,91773,Postal Code
9163946,JP,391-0211,Postal Code
9041604,DE,94469,Postal Code
9008164,US,22203,Postal Code
1014361,US,Vacaville,City
9042671,DE,92224,Postal Code
9004447,US,11552,Postal Code
1022378,US,River Edge,City
9054320,US,25076,Postal Code
1008497,IT,Trezzano sul Naviglio,City
9146209,IN,415621,Postal Code
21142,US,Florida,State
9156937,JP,728-0125,Postal Code
9044780,DE,41363,Postal Code
9148477,IN,622203,Postal Code
1027270,US,Richmond,City
9138491,MX,60554,Postal Code
9117076,DE,Wuppertal,District
9164869,JP,629-2534,Postal Code
9142926,MX,81271,Postal Code
9155579,JP,190-0172,Postal Code
1024156,US,Cheyenne,City
9019389,US,54859,Postal Code
1026448,US,Hale Center,City
9063602,NL,4223,Postal Code
9071006,AU,5350,Postal Code
9001977,US,02113,Postal Code
9301297,IN,453771,Postal Code
9005154,US,13160,Postal Code
9176704,JP,669-5252,Postal Code
9063449,NL,Vianen,Municipality
9016299,US,46732,Postal Code
1009552,JP,Amagasaki,City
9051331,PL,Szczucin,City
9071829,AU,2033,Postal Code
9169716,JP,719-1315,Postal Code
1011873,RU,Chebarkul,City
9104621,CA,Lac-de-la-Maison-de-Pierre,Territory
1028133,US,Oostburg,City
1007966,IL,Ashkelon,City
9065808,MY,Kampung Pinang,Neighborhood
9163478,JP,709-2107,Postal Code
1022469,US,West New York,City
9014251,US,40245,Postal Code
9161502,JP,873-0351,Postal Code
9071736,AU,2762,Postal Code
9177623,JP,379-1601,Postal Code
9062206,IN,400103,Postal Code
9147221,IN,509408,Postal Code
9043222,DE,17438,Postal Code
9132468,MX,32675,Postal Code
1021070,US,Cramerton,City
9173008,JP,969-1205,Postal Code
1018993,US,Parsonsfield,City
1012359,SE,Aseda,City
9021754,US,60653,Postal Code
9122183,ID,Sobang,District
9016490,US,47232,Postal Code
9129402,US,New York's 20th Congressional District 2022 redistricting,Congressional District
1017912,US,West Liberty,City
1024216,US,Guymon,City
9141842,MX,71450,Postal Code
9031692,US,93265,Postal Code
9028230,US,78617,Postal Code
1016304,US,Bismarck,City
9118866,NZ,4679,Postal Code
20100,BR,State of Piaui,State
9043058,DE,12529,Postal Code
9017070,US,48504,Postal Code
1029191,CZ,Velhartice,City
9158984,JP,963-4601,Postal Code
9168535,JP,879-6423,Postal Code
9127084,ID,Nusaniwe,District
9109587,FR,18230,Postal Code
9007260,US,19066,Postal Code
1019698,US,Avon,City
1011478,PL,Koscierzyna,City
21036,TH,Chiang Mai,Province
9139879,MX,47184,Postal Code
9136339,MX,29984,Postal Code
9029352,US,82835,Postal Code
21038,TH,Phrae,Province
